epoch,train_loss,val_loss,mAP50
1,1.061930827305924,1.2052952561638144,-
2,0.3268697430073104,0.2747961517128319,-
3,0.2451444385260899,0.2585717205253273,-
4,0.21932302177044916,0.2334104317729131,-
5,0.2601432239740902,0.2720491438366399,0.038
6,0.2358924804452043,0.21376527552631233,-
7,0.21702703958064873,0.21303312546840988,-
8,0.20211211874710847,0.22779286407524407,-
9,0.20061081455592414,0.19244761836005025,-
10,0.18260472078362236,0.23489653095049728,0.054
11,0.17586835299543344,0.18169606577531242,-
12,0.17374666228381372,0.18696682994244712,-
13,0.1659399288550297,0.18313451944896492,-
14,0.1576093430983724,0.21097876111248343,-
15,0.14593516782574031,0.16962366208139032,0.115
16,0.14841274290536502,0.15366168673343883,-
17,0.13833084233244014,0.16269137548965099,-
18,0.1436395015775787,0.17484492853763375,-
19,0.13024592906329202,0.15052326090892057,-
20,0.12562422001306314,0.16206745515660484,0.147
21,0.12375332769816337,0.1563743880147686,-
22,0.12238949418808362,0.14076963122380842,-
23,0.11705358408576583,0.14490497861942736,-
24,0.12204687764740879,0.15027007612740934,-
25,0.11260429626064641,0.1383536660877785,0.193
26,0.11827257160814653,0.14479371189776033,-
27,0.10672677700749095,0.13898850609502283,-
28,0.10871762395923182,0.1438222167054468,-
29,0.10350150061620873,0.13139159326432365,-
30,0.10046375868437082,0.1304978474347603,0.216
31,0.09978820367120438,0.13345583587294757,-
32,0.09634015728135287,0.126270788864666,-
33,0.09601423132424214,0.12435119172631956,-
34,0.09409482999941947,0.12411994804250132,-
35,0.09521272201900897,0.14780720591655758,0.174
36,0.09163498328709455,0.12147968663548184,-
37,0.08754284952807685,0.13504566763997963,-
38,0.08825178555681469,0.13079599021832541,-
39,0.0938677519189645,0.12530194164373645,-
40,0.08408184985381476,0.1178609370715031,0.245
41,0.08383402137884072,0.13179913108781127,-
42,0.08254664848147897,0.11994192602647709,-
43,0.0827099286783371,0.12268060593321772,-
44,0.08044601573336939,0.12096989033098268,-
45,0.08039592490502581,0.1233248908699739,0.255
46,0.08541975821142797,0.12910650435853566,-
47,0.08362532960864143,0.11389241977087637,-
48,0.07617273821223597,0.11325860918398098,-
49,0.07450785372197999,0.11622901286671658,-
50,0.07459100470155107,0.11906867572060316,0.240
51,0.0733842750837714,0.11522192604802918,-
52,0.07170331618684975,0.11550222128389938,-
53,0.0715366462118322,0.11160102080424676,-
54,0.06960518511232011,0.11223347818866225,-
55,0.0693136915101768,0.11445768235140655,0.288
56,0.06935490655672291,0.11418608602800287,-
57,0.06864899787589075,0.11271408287863625,-
58,0.06754939313746572,0.11294054546587096,-
59,0.06507988990116749,0.10841885681199555,-
60,0.06594643657853515,0.1082293273429248,0.302
61,0.06546185364518661,0.10712916054993425,-
62,0.06560015779173707,0.10668695073039962,-
63,0.0630014475666403,0.11437795810991584,-
64,0.06337392629928286,0.12277122619700166,-
65,0.06267830393977047,0.10833758630762154,0.305
66,0.06106905113466038,0.11043964848752216,-
67,0.06073933816543833,0.10618020546631796,-
68,0.0594701892308752,0.11276754420619495,-
69,0.06088159984637121,0.10726643768185289,-
70,0.059155191924214735,0.10943404275296938,0.320
71,0.06080146787676567,0.11079449456480175,-
72,0.0586796653485909,0.10419973472852519,-
73,0.05664958444580158,0.1052610965003029,-
74,0.055892284843862425,0.10585832836493703,-
75,0.05800086641163559,0.10644631334903217,0.318
76,0.05469527467044059,0.1074606633865007,-
77,0.05434877356016858,0.10695151561908055,-
78,0.055824399512168596,0.1069860246936136,-
79,0.0535564000099342,0.10955347778220283,-
80,0.05297386635627065,0.10809714718269978,0.320
81,0.052541860040878845,0.10669524200020893,-
82,0.0520774846451114,0.11447305316197695,-
83,0.051333510093622324,0.10735900858232733,-
84,0.05270234232259371,0.10657051893061784,-
85,0.04961640385401823,0.10674889722728345,0.328
86,0.0500171278632298,0.10935232626034481,-
87,0.049363356292456015,0.10639854398380855,-
88,0.050332003831863405,0.10669637644331496,-
89,0.04761483014405051,0.10755925766183155,-
90,0.04802523238804215,0.1074170295822222,0.330
91,0.0470750471744802,0.11993379846196806,-
92,0.04712067398919452,0.10926705011452484,-
93,0.046764544184718815,0.10908262580079903,-
94,0.04565569167227849,0.11385940505874038,-
95,0.045581287032236226,0.10807215376286813,0.327
96,0.04551560909180723,0.11262740840729658,-
97,0.04439276774292407,0.11270011251441914,-
98,0.044273571259347916,0.10986567857112772,-
99,0.04327553889673689,0.10995068986632742,-
100,0.04323767027962282,0.11095748358120275,0.333
