epoch,train,val,mAP50
1,2.4037890914804447,2.575151738553944,-
2,0.7277601421064471,0.5844201264109942,-
3,0.511175766892685,0.5189095053563614,-
4,0.504459340176227,0.4694493044868554,-
5,0.4737465816162388,0.7562211598869008,0.000
6,0.45667501936973254,0.4496200366849356,-
7,0.6436916525782266,1.003715863543572,-
8,0.5656893769776599,0.6151299639651091,-
9,0.4655423772631225,0.4493568785820562,-
10,0.4526885830374978,0.43933432619317925,0.000
11,0.3844403077125179,0.4321956026303296,-
12,0.35797383058700505,0.43830713655541437,-
13,0.35221892244975017,0.365328015575167,-
14,0.32166403937413823,0.3528451549424098,-
15,0.3289010532477998,0.34663885848430714,0.000
16,0.29582098810383994,0.3507928911707189,-
17,0.2914463540504438,0.31333563445449464,-
18,0.27257683331736865,0.3150096697603712,-
19,0.2562257104917713,0.3146084470139577,-
20,0.24558829314867903,0.3460175384868785,0.000
