epoch,train,val,P,R,mAP50
1,2.2683471914403928,2.4262677537332666,0.0,0.0,0.0
2,0.7127155881120552,0.5866623699001157,0.0,0.0,0.0
3,0.5047963592299023,0.5009651458868296,0.0,0.0,0.0
4,0.454870073756446,0.565891884119794,0.0,0.0,0.0
