epoch,train,val,mAP50
1,1.137901976500979,1.239118912284917,-
2,0.32922517641545823,0.2926000067687566,-
3,0.2493595847617025,0.24182524159550667,-
4,0.23710748528286538,0.23708291280793375,-
5,0.23063257564298856,0.22575239908171468,0.000
6,0.21496467360798616,0.22138965406482763,-
7,0.20044849096849468,0.1978154853078546,-
8,0.2319361557894797,0.24586425402598217,-
9,0.19628872186963603,0.20941853517721784,-
10,0.19679899989910749,0.21475642240873657,0.000
11,0.17852456767042602,0.18402552901591995,-
12,0.16571938267775943,0.1817250550715345,-
13,0.17698283960684116,0.18208406011730727,-
14,0.15881632049770458,0.17509007867019954,-
15,0.14874270141171003,0.16520274189844875,0.000
16,0.14271278639804133,0.16143180774801438,-
17,0.14483025976636024,0.17549214131281812,-
18,0.1585173809958726,0.1562205631986703,-
19,0.13312052698886911,0.15657450853487348,-
20,0.13117857050867926,0.14891277993153226,0.000
21,0.12542768027286352,0.14534432555336763,-
22,0.12749059843304364,0.15589566265998206,-
23,0.12051908442322512,0.1495364430351275,-
24,0.11573369766105406,0.1483339289074192,-
25,0.11217206577475397,0.14471889550954398,0.000
26,0.11414509959842847,0.13615443724401222,-
27,0.11264489236640635,0.13785159031832867,-
28,0.10437110272114691,0.13558635832557436,-
29,0.10594057219322794,0.16608295958526065,-
30,0.10338813447341415,0.1316471209445286,0.000
31,0.10395452391518199,0.1271874951751958,-
32,0.10184079443816073,0.12902395709390097,-
33,0.09659594307474283,0.12503140894603906,-
34,0.09350357638521595,0.1323227070474831,-
35,0.0940455420116275,0.12443017696334731,0.000
36,0.10279599312021866,0.12456467175985327,-
37,0.08873068633148018,0.12236854797782432,-
38,0.09022576197495927,0.12832963832257555,-
39,0.09401073826141423,0.13187133810842538,-
40,0.0847430906518831,0.12424929096999734,0.000
41,0.0890939592875494,0.1187395424499075,-
